Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,interaction_effect,interaction_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description,Gene,Protein Gene,UniProt_Accession,UniProt_Entry_Name,UniProt_Database
sp|P61201|CSN2_HUMAN,-0.6296813960200888,13.844356802026402,,0.03044595052324684,,-0.6296813960200888,0.03044595052324684,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20162406731472138,False,Not significant,COP9 signalosome complex subunit 2,COPS2,COPS2,P61201,CSN2_HUMAN,SwissProt
sp|P78356|PI42B_HUMAN,-0.24289217313408498,15.356457437572955,,0.030465436691224184,,-0.24289217313408498,0.030465436691224184,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20162406731472138,False,Not significant,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,PIP4K2B,PIP4K2B,P78356,PI42B_HUMAN,SwissProt
sp|P0DTE1|HV383_HUMAN,0.3819772735508855,16.841678802795776,,0.030508904922622312,,0.3819772735508855,0.030508904922622312,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20162406731472138,False,Not significant,Probable non-functional immunoglobulin heavy variable 3-38-3,IGHV3-38-3,IGHV3-38-3,P0DTE1,HV383_HUMAN,SwissProt
sp|O75396|SC22B_HUMAN,-0.9153822308503777,12.3226641922175,,0.031123133043198255,,-0.9153822308503777,0.031123133043198255,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Vesicle-trafficking protein SEC22b,SEC22B,SEC22B,O75396,SC22B_HUMAN,SwissProt
sp|Q5TEC6|H37_HUMAN,0.8773613522956677,17.682799241084073,,0.031424774246979155,,0.8773613522956677,0.031424774246979155,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Histone H3-7,H3-7,H3-7,Q5TEC6,H37_HUMAN,SwissProt
sp|O60841|IF2P_HUMAN,-0.734360492871327,10.13781764025102,,0.031436937225385465,,-0.734360492871327,0.031436937225385465,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Eukaryotic translation initiation factor 5B,EIF5B,EIF5B,O60841,IF2P_HUMAN,SwissProt
sp|Q9UBQ5|EIF3K_HUMAN,-3.3043138785349426,8.64412720099828,,0.03144504588946561,,-3.3043138785349426,0.03144504588946561,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Eukaryotic translation initiation factor 3 subunit K,EIF3K,EIF3K,Q9UBQ5,EIF3K_HUMAN,SwissProt
sp|Q9Y5P4|CERT_HUMAN,0.8289848155012252,10.660505002816368,,0.0314668205307075,,0.8289848155012252,0.0314668205307075,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Ceramide transfer protein,CERT1,CERT1,Q9Y5P4,CERT_HUMAN,SwissProt
sp|P06756|ITAV_HUMAN,-0.2535542210803023,12.771363312208647,,0.03155878925201019,,-0.2535542210803023,0.03155878925201019,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Integrin alpha-V,ITGAV,ITGAV,P06756,ITAV_HUMAN,SwissProt
sp|A0A075B6R2|HV404_HUMAN,0.4396371779252966,18.29650188408166,,0.03160138834481114,,0.4396371779252966,0.03160138834481114,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,Immunoglobulin heavy variable 4-4,IGHV4-4,IGHV4-4,A0A075B6R2,HV404_HUMAN,SwissProt
sp|Q96BZ4|PLD4_HUMAN,0.33179571305530997,12.982518693568904,,0.031659600136523636,,0.33179571305530997,0.031659600136523636,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20448693572598833,False,Not significant,5'-3' exonuclease PLD4,PLD4,PLD4,Q96BZ4,PLD4_HUMAN,SwissProt
sp|P14317|HCLS1_HUMAN,0.5107860343768353,17.667505850080275,,0.03198843020115752,,0.5107860343768353,0.03198843020115752,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20587026454235272,False,Not significant,Hematopoietic lineage cell-specific protein,HCLS1,HCLS1,P14317,HCLS1_HUMAN,SwissProt
sp|P20936|RASA1_HUMAN,0.6531629129994233,12.597249901896916,,0.03213547986024371,,0.6531629129994233,0.03213547986024371,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20587026454235272,False,Not significant,Ras GTPase-activating protein 1,RASA1,RASA1,P20936,RASA1_HUMAN,SwissProt
sp|O60575|ISK4_HUMAN,0.6772375074942644,10.845255264711481,,0.032144655340823496,,0.6772375074942644,0.032144655340823496,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20587026454235272,False,Not significant,Serine protease inhibitor Kazal-type 4,SPINK4,SPINK4,O60575,ISK4_HUMAN,SwissProt
sp|O00468|AGRIN_HUMAN,-0.20525385805669924,19.375299598574923,,0.032287045688979873,,-0.20525385805669924,0.032287045688979873,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20620298087079586,False,Not significant,Agrin,AGRN,AGRN,O00468,AGRIN_HUMAN,SwissProt
sp|O14818|PSA7_HUMAN,-0.3263589138120104,19.331619205008998,,0.03258991515337256,,-0.3263589138120104,0.03258991515337256,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2072063519518481,False,Not significant,Proteasome subunit alpha type-7,PSMA7,PSMA7,O14818,PSA7_HUMAN,SwissProt
sp|Q9BWD1|THIC_HUMAN,-0.4686184502423845,11.052885027171076,,0.03262591243452345,,-0.4686184502423845,0.03262591243452345,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2072063519518481,False,Not significant,"Acetyl-CoA acetyltransferase, cytosolic",ACAT2,ACAT2,Q9BWD1,THIC_HUMAN,SwissProt
sp|Q92859|NEO1_HUMAN,-0.15635490059999632,19.706220960930636,,0.032743374145568174,,-0.15635490059999632,0.032743374145568174,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20737470292193178,False,Not significant,Neogenin,NEO1,NEO1,Q92859,NEO1_HUMAN,SwissProt
sp|P13667|PDIA4_HUMAN,-0.19803769813989552,20.32906059315512,,0.033099551576424475,,-0.19803769813989552,0.033099551576424475,,,,,,,29,Mixed-effects model (Wald F-test on time),0.208181249630498,False,Not significant,Protein disulfide-isomerase A4,PDIA4,PDIA4,P13667,PDIA4_HUMAN,SwissProt
sp|A0A0C4DH32|HV320_HUMAN,0.43654138319536245,20.845750667559038,,0.03312527175214525,,0.43654138319536245,0.03312527175214525,,,,,,,29,Mixed-effects model (Wald F-test on time),0.208181249630498,False,Not significant,Immunoglobulin heavy variable 3-20,IGHV3-20,IGHV3-20,A0A0C4DH32,HV320_HUMAN,SwissProt
sp|P01782|HV309_HUMAN,0.42398184586117654,21.020598093816478,,0.03318066793753427,,0.42398184586117654,0.03318066793753427,,,,,,,29,Mixed-effects model (Wald F-test on time),0.208181249630498,False,Not significant,Immunoglobulin heavy variable 3-9,IGHV3-9,IGHV3-9,P01782,HV309_HUMAN,SwissProt
sp|Q99436|PSB7_HUMAN,-0.4479399883150479,17.710099299166142,,0.03323595388837775,,-0.4479399883150479,0.03323595388837775,,,,,,,29,Mixed-effects model (Wald F-test on time),0.208181249630498,False,Not significant,Proteasome subunit beta type-7,PSMB7,PSMB7,Q99436,PSB7_HUMAN,SwissProt
sp|P51858|HDGF_HUMAN,0.4035709280838016,15.556544059845706,,0.03337326212304648,,0.4035709280838016,0.03337326212304648,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2082493262328112,False,Not significant,Hepatoma-derived growth factor,HDGF,HDGF,P51858,HDGF_HUMAN,SwissProt
sp|Q14213|IL27B_HUMAN,0.8409070149403401,11.165303596931818,,0.033429497105793377,,0.8409070149403401,0.033429497105793377,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2082493262328112,False,Not significant,Interleukin-27 subunit beta,EBI3,EBI3,Q14213,IL27B_HUMAN,SwissProt
sp|P49257|LMAN1_HUMAN,0.34651910893515275,12.379770026940205,,0.033531697138099885,,0.34651910893515275,0.033531697138099885,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2083168105582227,False,Not significant,Protein ERGIC-53,LMAN1,LMAN1,P49257,LMAN1_HUMAN,SwissProt
sp|O60507|TPST1_HUMAN,0.8348190060723066,11.28158163500248,,0.03376549181432711,,0.8348190060723066,0.03376549181432711,,,,,,,29,Mixed-effects model (Wald F-test on time),0.20919924276267882,False,Not significant,Protein-tyrosine sulfotransferase 1,TPST1,TPST1,O60507,TPST1_HUMAN,SwissProt
sp|O14786|NRP1_HUMAN,-0.16620558335457897,21.122631660283467,,0.034125551830791585,,-0.16620558335457897,0.034125551830791585,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21085706822277728,False,Not significant,Neuropilin-1,NRP1,NRP1,O14786,NRP1_HUMAN,SwissProt
sp|P12724|ECP_HUMAN,-0.5324150127714014,12.723321525372395,,0.03439561530311211,,-0.5324150127714014,0.03439561530311211,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21181966300909696,False,Not significant,Eosinophil cationic protein,RNASE3,RNASE3,P12724,ECP_HUMAN,SwissProt
sp|P54289|CA2D1_HUMAN,1.543384803131383,8.879813657304725,,0.03449727939948776,,1.543384803131383,0.03449727939948776,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21181966300909696,False,Not significant,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,CACNA2D1,P54289,CA2D1_HUMAN,SwissProt
sp|P28072|PSB6_HUMAN,-0.4390265066369985,18.32755774161588,,0.034573815481392274,,-0.4390265066369985,0.034573815481392274,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21181966300909696,False,Not significant,Proteasome subunit beta type-6,PSMB6,PSMB6,P28072,PSB6_HUMAN,SwissProt
sp|Q9Y5C1|ANGL3_HUMAN,-0.36150898091600425,15.540359970892938,,0.034652953641400516,,-0.36150898091600425,0.034652953641400516,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21181966300909696,False,Not significant,Angiopoietin-related protein 3,ANGPTL3,ANGPTL3,Q9Y5C1,ANGL3_HUMAN,SwissProt
sp|P14314|GLU2B_HUMAN,-0.2550693286053183,21.18951177101269,,0.03497809086853634,,-0.2550693286053183,0.03497809086853634,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2132354202680825,False,Not significant,Glucosidase 2 subunit beta,PRKCSH,PRKCSH,P14314,GLU2B_HUMAN,SwissProt
sp|P01766|HV313_HUMAN,0.42761382660294633,20.90224284615044,,0.035316245959266045,,0.42761382660294633,0.035316245959266045,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21432860979725027,False,Not significant,Immunoglobulin heavy variable 3-13,IGHV3-13,IGHV3-13,P01766,HV313_HUMAN,SwissProt
sp|A0A0C4DH34|HV428_HUMAN,0.5006011795686157,15.526909805896636,,0.03534541986130092,,0.5006011795686157,0.03534541986130092,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21432860979725027,False,Not significant,Immunoglobulin heavy variable 4-28,IGHV4-28,IGHV4-28,A0A0C4DH34,HV428_HUMAN,SwissProt
sp|Q86UX2|ITIH5_HUMAN,-0.2447926070760315,14.659568852059142,,0.035676753275828095,,-0.2447926070760315,0.035676753275828095,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Inter-alpha-trypsin inhibitor heavy chain H5,ITIH5,ITIH5,Q86UX2,ITIH5_HUMAN,SwissProt
sp|P08493|MGP_HUMAN,-0.5954748450439326,18.476828501516767,,0.035735647585527636,,-0.5954748450439326,0.035735647585527636,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Matrix Gla protein,MGP,MGP,P08493,MGP_HUMAN,SwissProt
sp|A0A0G2JMI3|HV692_HUMAN,2.6308085523182254,9.963414909458177,,0.035821370626128564,,2.6308085523182254,0.035821370626128564,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Immunoglobulin heavy variable 1-69-2,IGHV1-69-2,IGHV1-69-2,A0A0G2JMI3,HV692_HUMAN,SwissProt
sp|P09603|CSF1_HUMAN,-0.17931362963742542,19.036261229616496,,0.035940764969931566,,-0.17931362963742542,0.035940764969931566,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Macrophage colony-stimulating factor 1,CSF1,CSF1,P09603,CSF1_HUMAN,SwissProt
sp|P84243|H33_HUMAN / sp|Q71DI3|H32_HUMAN / sp|P68431|H31_HUMAN / sp|Q16695|H31T_HUMAN,0.8618010863165545,18.09741013981451,,0.03594818568035322,,0.8618010863165545,0.03594818568035322,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Histone H3.3,H3-3A / H3C15 / H3C1 / H3-4,H3-3A / H3C15 / H3C1 / H3-4,P84243,,
sp|P13942|COBA2_HUMAN,-0.3137013437600946,15.74894202793696,,0.035994328477740714,,-0.3137013437600946,0.035994328477740714,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Collagen alpha-2(XI) chain,COL11A2,COL11A2,P13942,COBA2_HUMAN,SwissProt
sp|P01859|IGHG2_HUMAN,0.30195874932272665,24.649933362095567,,0.036033084544321275,,0.30195874932272665,0.036033084544321275,,,,,,,29,Mixed-effects model (Wald F-test on time),0.21450504637350526,False,Not significant,Immunoglobulin heavy constant gamma 2,IGHG2,IGHG2,P01859,IGHG2_HUMAN,SwissProt
sp|P59665|DEF1_HUMAN,0.49994119285501226,21.7317990782427,,0.037276679914950685,,0.49994119285501226,0.037276679914950685,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22076680376667146,False,Not significant,Neutrophil defensin 1,DEFA1,DEFA1,P59665,DEF1_HUMAN,SwissProt
sp|P59666|DEF3_HUMAN,0.5024853082505751,21.721949682905265,,0.03732310470626519,,0.5024853082505751,0.03732310470626519,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22076680376667146,False,Not significant,Neutrophil defensin 3,DEFA3,DEFA3,P59666,DEF3_HUMAN,SwissProt
sp|P49411|EFTU_HUMAN,0.45540500269040535,11.176456989509429,,0.03737543256751543,,0.45540500269040535,0.03737543256751543,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22076680376667146,False,Not significant,"Elongation factor Tu, mitochondrial",TUFM,TUFM,P49411,EFTU_HUMAN,SwissProt
sp|O75752|B3GL1_HUMAN,0.38467703778633516,12.77212655904542,,0.03763959826843789,,0.38467703778633516,0.03763959826843789,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2214530300084083,False,Not significant,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",B3GALNT1,B3GALNT1,O75752,B3GL1_HUMAN,SwissProt
sp|Q9UM22|EPDR1_HUMAN,0.2974092098615906,11.774795036026784,,0.037685866510202816,,0.2974092098615906,0.037685866510202816,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2214530300084083,False,Not significant,Mammalian ependymin-related protein 1,EPDR1,EPDR1,Q9UM22,EPDR1_HUMAN,SwissProt
sp|Q5JU69|TOR2A_HUMAN,-0.3605782896644329,12.285831354410819,,0.037912666578628504,,-0.3605782896644329,0.037912666578628504,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22212568313977174,False,Not significant,Torsin-2A,TOR2A,TOR2A,Q5JU69,TOR2A_HUMAN,SwissProt
sp|O60279|SUSD5_HUMAN,-0.27208469568483296,19.609122886196733,,0.03799518264232938,,-0.27208469568483296,0.03799518264232938,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22212568313977174,False,Not significant,Sushi domain-containing protein 5,SUSD5,SUSD5,O60279,SUSD5_HUMAN,SwissProt
sp|O15230|LAMA5_HUMAN,-0.3431464750807166,13.024271169007319,,0.038214791787234824,,-0.3431464750807166,0.038214791787234824,,,,,,,29,Mixed-effects model (Wald F-test on time),0.222838172058556,False,Not significant,Laminin subunit alpha-5,LAMA5,LAMA5,O15230,LAMA5_HUMAN,SwissProt
sp|P40967|PMEL_HUMAN,0.23582245819817232,18.956528486015827,,0.038819911327302385,,0.23582245819817232,0.038819911327302385,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2252280859986072,False,Not significant,Melanocyte protein PMEL,PMEL,PMEL,P40967,PMEL_HUMAN,SwissProt
sp|P09871|C1S_HUMAN,0.2471030983207207,23.05683426498513,,0.03899686110670189,,0.2471030983207207,0.03899686110670189,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2252280859986072,False,Not significant,Complement C1s subcomponent,C1S,C1S,P09871,C1S_HUMAN,SwissProt
sp|Q14247|SRC8_HUMAN,0.3472894252441696,17.456592536098725,,0.039014690116998506,,0.3472894252441696,0.039014690116998506,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2252280859986072,False,Not significant,Src substrate cortactin,CTTN,CTTN,Q14247,SRC8_HUMAN,SwissProt
sp|P49788|TIG1_HUMAN,0.22807687387536385,16.22617472647265,,0.03901977805677625,,0.22807687387536385,0.03901977805677625,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2252280859986072,False,Not significant,Retinoic acid receptor responder protein 1,RARRES1,RARRES1,P49788,TIG1_HUMAN,SwissProt
sp|P19827|ITIH1_HUMAN,-0.18998096251755534,30.69161701258949,,0.039148947924476034,,-0.18998096251755534,0.039148947924476034,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22531939234720788,False,Not significant,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,ITIH1,P19827,ITIH1_HUMAN,SwissProt
sp|P00924|ENO1_YEAST,-0.1835574761332545,28.985205531250486,,0.03923324507098312,,-0.1835574761332545,0.03923324507098312,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22531939234720788,False,Not significant,Enolase 1,ENO1,ENO1,P00924,ENO1_YEAST,SwissProt
sp|Q86YW5|TRML1_HUMAN,0.26535764945138207,14.649749729583727,,0.03977363904041383,,0.26535764945138207,0.03977363904041383,,,,,,,29,Mixed-effects model (Wald F-test on time),0.22784898746769736,False,Not significant,Trem-like transcript 1 protein,TREML1,TREML1,Q86YW5,TRML1_HUMAN,SwissProt
sp|Q8N3T1|GLT15_HUMAN,0.1415402955735888,15.588571054575247,,0.04079437756807273,,0.1415402955735888,0.04079437756807273,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2331107289604156,False,Not significant,Polypeptide N-acetylgalactosaminyltransferase 15,GALNT15,GALNT15,Q8N3T1,GLT15_HUMAN,SwissProt
sp|Q6UY14|ATL4_HUMAN,0.35141238733725094,15.213586352659144,,0.04113744525395541,,0.35141238733725094,0.04113744525395541,,,,,,,29,Mixed-effects model (Wald F-test on time),0.23448343794754584,False,Not significant,ADAMTS-like protein 4,ADAMTSL4,ADAMTSL4,Q6UY14,ATL4_HUMAN,SwissProt
sp|P02656|APOC3_HUMAN,-0.29591183047015046,25.075303896189922,,0.04133099558570403,,-0.29591183047015046,0.04133099558570403,,,,,,,29,Mixed-effects model (Wald F-test on time),0.23473003116730212,False,Not significant,Apolipoprotein C-III,APOC3,APOC3,P02656,APOC3_HUMAN,SwissProt
sp|P25786|PSA1_HUMAN,-0.35501650455374123,20.15884420250868,,0.04138661075844537,,-0.35501650455374123,0.04138661075844537,,,,,,,29,Mixed-effects model (Wald F-test on time),0.23473003116730212,False,Not significant,Proteasome subunit alpha type-1,PSMA1,PSMA1,P25786,PSA1_HUMAN,SwissProt
sp|P01344|IGF2_HUMAN,0.2761088130667807,16.37339337914073,,0.04176818971440715,,0.2761088130667807,0.04176818971440715,,,,,,,29,Mixed-effects model (Wald F-test on time),0.23576912116121343,False,Not significant,Insulin-like growth factor 2,IGF2,IGF2,P01344,IGF2_HUMAN,SwissProt
sp|Q9H1B5|XYLT2_HUMAN,0.15139530257127196,19.062873846401747,,0.04177663374961852,,0.15139530257127196,0.04177663374961852,,,,,,,29,Mixed-effects model (Wald F-test on time),0.23576912116121343,False,Not significant,Xylosyltransferase 2,XYLT2,XYLT2,Q9H1B5,XYLT2_HUMAN,SwissProt
sp|P00325|ADH1B_HUMAN / sp|P07327|ADH1A_HUMAN,-2.2074299158651427,7.142633447800074,,0.04259826247363049,,-2.2074299158651427,0.04259826247363049,,,,,,,29,Mixed-effects model (Wald F-test on time),0.23981244059229015,False,Not significant,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,ADH1B / ADH1A,ADH1B / ADH1A,P00325,,
sp|P02655|APOC2_HUMAN,-0.22582178541064904,23.458207698007556,,0.043766567857356845,,-0.22582178541064904,0.043766567857356845,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2457826963418069,False,Not significant,Apolipoprotein C-II,APOC2,APOC2,P02655,APOC2_HUMAN,SwissProt
sp|P51692|STA5B_HUMAN,-0.3084813465240467,13.037737380686027,,0.044005557587671815,,-0.3084813465240467,0.044005557587671815,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2465176199014539,False,Not significant,Signal transducer and activator of transcription 5B,STAT5B,STAT5B,P51692,STA5B_HUMAN,SwissProt
sp|Q9BYJ0|FGFP2_HUMAN,-0.3600096526501025,17.343086553354,,0.04416077863529907,,-0.3600096526501025,0.04416077863529907,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2467808217854948,False,Not significant,Fibroblast growth factor-binding protein 2,FGFBP2,FGFBP2,Q9BYJ0,FGFP2_HUMAN,SwissProt
sp|P54750|PDE1A_HUMAN,-0.24385731901002397,13.359678497473478,,0.044440430005007706,,-0.24385731901002397,0.044440430005007706,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24730488700084854,False,Not significant,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",PDE1A,PDE1A,P54750,PDE1A_HUMAN,SwissProt
sp|P07437|TBB5_HUMAN,-0.1555601768173703,21.44881318205323,,0.0445506025082017,,-0.1555601768173703,0.0445506025082017,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24730488700084854,False,Not significant,Tubulin beta chain,TUBB,TUBB,P07437,TBB5_HUMAN,SwissProt
sp|P49767|VEGFC_HUMAN,0.19919806579883134,16.86217481941033,,0.044579959893574016,,0.19919806579883134,0.044579959893574016,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24730488700084854,False,Not significant,Vascular endothelial growth factor C,VEGFC,VEGFC,P49767,VEGFC_HUMAN,SwissProt
sp|P05154|IPSP_HUMAN,0.6012183024801656,22.087086786016297,,0.044736105264786226,,0.6012183024801656,0.044736105264786226,,,,,,,29,Mixed-effects model (Wald F-test on time),0.2475687378730888,False,Not significant,Plasma serine protease inhibitor,SERPINA5,SERPINA5,P05154,IPSP_HUMAN,SwissProt
sp|A0A0A0MS14|HV145_HUMAN,0.38330658448705135,15.314492796723892,,0.04488363227685099,,0.38330658448705135,0.04488363227685099,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24769878451390823,False,Not significant,Immunoglobulin heavy variable 1-45,IGHV1-45,IGHV1-45,A0A0A0MS14,HV145_HUMAN,SwissProt
sp|P51572|BAP31_HUMAN,0.3854544554041335,13.945850001471973,,0.044976884556472814,,0.3854544554041335,0.044976884556472814,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24769878451390823,False,Not significant,B-cell receptor-associated protein 31,BCAP31,BCAP31,P51572,BAP31_HUMAN,SwissProt
sp|O76071|CIAO1_HUMAN,-0.5799180747867072,12.927815283847254,,0.045130090970899615,,-0.5799180747867072,0.045130090970899615,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24794363232205088,False,Not significant,Probable cytosolic iron-sulfur protein assembly protein CIAO1,CIAO1,CIAO1,O76071,CIAO1_HUMAN,SwissProt
sp|P07093|GDN_HUMAN,0.22245245328121957,19.231701875870268,,0.045489779605903585,,0.22245245328121957,0.045489779605903585,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24904435808778408,False,Not significant,Glia-derived nexin,SERPINE2,SERPINE2,P07093,GDN_HUMAN,SwissProt
sp|P06331|HV434_HUMAN,0.30259043938059205,19.115994896269314,,0.0455489023344763,,0.30259043938059205,0.0455489023344763,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24904435808778408,False,Not significant,Immunoglobulin heavy variable 4-34,IGHV4-34,IGHV4-34,P06331,HV434_HUMAN,SwissProt
sp|P14209|CD99_HUMAN,-0.2913503219622836,14.431161448624058,,0.04573011123340772,,-0.2913503219622836,0.04573011123340772,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24923305845369306,False,Not significant,CD99 antigen,CD99,CD99,P14209,CD99_HUMAN,SwissProt
sp|Q96J42|TXD15_HUMAN,0.13647740246957943,18.343579626805916,,0.04580204012811289,,0.13647740246957943,0.04580204012811289,,,,,,,29,Mixed-effects model (Wald F-test on time),0.24923305845369306,False,Not significant,Thioredoxin domain-containing protein 15,TXNDC15,TXNDC15,Q96J42,TXD15_HUMAN,SwissProt
sp|P53618|COPB_HUMAN,0.5174027028383377,12.551077983601441,,0.04637781638676753,,0.5174027028383377,0.04637781638676753,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25079043335644663,False,Not significant,Coatomer subunit beta,COPB1,COPB1,P53618,COPB_HUMAN,SwissProt
sp|A0A0C4DH38|HV551_HUMAN,0.3162173154844658,18.10823670414105,,0.04638969971744117,,0.3162173154844658,0.04638969971744117,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25079043335644663,False,Not significant,Immunoglobulin heavy variable 5-51,IGHV5-51,IGHV5-51,A0A0C4DH38,HV551_HUMAN,SwissProt
sp|O95544|NADK_HUMAN,0.5729619556478799,13.734137075405151,,0.04653818775048836,,0.5729619556478799,0.04653818775048836,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25079043335644663,False,Not significant,NAD kinase,NADK,NADK,O95544,NADK_HUMAN,SwissProt
sp|P10144|GRAB_HUMAN,0.1765725426683039,15.360379447843025,,0.04665061398293852,,0.1765725426683039,0.04665061398293852,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25079043335644663,False,Not significant,Granzyme B,GZMB,GZMB,P10144,GRAB_HUMAN,SwissProt
sp|P33908|MA1A1_HUMAN,0.17919503427634498,16.109768731956088,,0.04674546471722533,,0.17919503427634498,0.04674546471722533,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25079043335644663,False,Not significant,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",MAN1A1,MAN1A1,P33908,MA1A1_HUMAN,SwissProt
sp|P49721|PSB2_HUMAN,-0.2883679280938786,19.01764311286721,,0.04674821674407448,,-0.2883679280938786,0.04674821674407448,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25079043335644663,False,Not significant,Proteasome subunit beta type-2,PSMB2,PSMB2,P49721,PSB2_HUMAN,SwissProt
sp|P28074|PSB5_HUMAN,-0.4663409195756982,18.434288891981307,,0.047097371678958014,,-0.4663409195756982,0.047097371678958014,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25207043997188794,False,Not significant,Proteasome subunit beta type-5,PSMB5,PSMB5,P28074,PSB5_HUMAN,SwissProt
sp|Q9NQ30|ESM1_HUMAN,0.266418505116082,16.35986130991687,,0.04741147794415262,,0.266418505116082,0.04741147794415262,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25312531259373394,False,Not significant,Endothelial cell-specific molecule 1,ESM1,ESM1,Q9NQ30,ESM1_HUMAN,SwissProt
sp|P54136|SYRC_HUMAN,-3.4568284234434383,8.257334604319237,,0.047586747886028104,,-3.4568284234434383,0.047586747886028104,,,,,,,29,Mixed-effects model (Wald F-test on time),0.25312531259373394,False,Not significant,"Arginine--tRNA ligase, cytoplasmic",RARS1,RARS1,P54136,SYRC_HUMAN,SwissProt
