Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description_x,Gene,Protein Gene_x,UniProt_Accession_x,UniProt_Entry_Name_x,UniProt_Database,Description_y,Protein Gene_y,UniProt_Accession_y,UniProt_Entry_Name_y
sp|P51888|PRELP_HUMAN,-0.0017700883142888577,16.240500279741713,,0.5915328029949207,,-6.909311767414687e-05,0.983948888875657,0.14331248933105015,0.3567188607819657,,,36,Mixed-effects model,1.0,False,Not significant,Prolargin,PRELP,PRELP,P51888,PRELP_HUMAN,SwissProt,Prolargin,PRELP,P51888,PRELP_HUMAN
sp|Q7Z5L0|VMO1_HUMAN,0.0030194831213328035,11.963126726299704,,0.6028013058285255,,-0.00784263651145677,0.08584547099455318,-0.4055546572314476,0.13816567039509067,,,36,Mixed-effects model,1.0,False,Not significant,Vitelline membrane outer layer protein 1 homolog,VMO1,VMO1,Q7Z5L0,VMO1_HUMAN,SwissProt,Vitelline membrane outer layer protein 1 homolog,VMO1,Q7Z5L0,VMO1_HUMAN
sp|P07225|PROS_HUMAN,0.0009191329581790629,17.83924160319785,,0.6077238289572376,,-0.0002728241398893462,0.8870488482716911,0.022960538533291296,0.7856057873229221,,,36,Mixed-effects model,1.0,False,Not significant,Vitamin K-dependent protein S,PROS1,PROS1,P07225,PROS_HUMAN,SwissProt,Vitamin K-dependent protein S,PROS1,P07225,PROS_HUMAN
sp|Q15582|BGH3_HUMAN,-0.0008673900469556292,16.847052468675358,,0.61037958595589,,2.837590904617125e-05,0.9908883624926624,0.07711108619419546,0.3366006081810571,,,36,Mixed-effects model,1.0,False,Not significant,Transforming growth factor-beta-induced protein ig-h3,TGFBI,TGFBI,Q15582,BGH3_HUMAN,SwissProt,Transforming growth factor-beta-induced protein ig-h3,TGFBI,Q15582,BGH3_HUMAN
sp|P01880|IGHD_HUMAN,-0.007256853142012026,12.263713724543393,,0.6115318062298454,,0.0027531845151251054,0.8533029835777433,0.08109970276042729,0.9041621731448111,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy constant delta,IGHD,IGHD,P01880,IGHD_HUMAN,SwissProt,Immunoglobulin heavy constant delta,IGHD,P01880,IGHD_HUMAN
sp|P01009|A1AT_HUMAN,-0.0023746193290481443,22.893405414610108,,0.6126304945471004,,0.00456408224011822,0.4242821866704217,0.2937023047435064,0.184028124861228,,,36,Mixed-effects model,1.0,False,Not significant,Alpha-1-antitrypsin,SERPINA1,SERPINA1,P01009,A1AT_HUMAN,SwissProt,Alpha-1-antitrypsin,SERPINA1,P01009,A1AT_HUMAN
sp|Q9GZM7|TINAL_HUMAN,0.003918809167586474,10.824509815183637,,0.6141282398645056,,-0.002779932003494406,0.6370267724503293,-0.09095212655259184,0.8039544648593007,,,36,Mixed-effects model,1.0,False,Not significant,Tubulointerstitial nephritis antigen-like,TINAGL1,TINAGL1,Q9GZM7,TINAL_HUMAN,SwissProt,Tubulointerstitial nephritis antigen-like,TINAGL1,Q9GZM7,TINAL_HUMAN
sp|Q9Y6N7|ROBO1_HUMAN,0.0011606433325153157,15.831492348904732,,0.6161635330835071,,-0.002204197823616023,0.4242020239136405,-0.16112992709704202,0.13986115931505944,,,36,Mixed-effects model,1.0,False,Not significant,Roundabout homolog 1,ROBO1,ROBO1,Q9Y6N7,ROBO1_HUMAN,SwissProt,Roundabout homolog 1,ROBO1,Q9Y6N7,ROBO1_HUMAN
sp|P14136|GFAP_HUMAN,0.005326041645322784,15.217109617004748,,0.6177465355289451,,0.0013096435381270207,0.8806201475508528,0.009754619303980671,0.9845308660185037,,,36,Mixed-effects model,1.0,False,Not significant,Glial fibrillary acidic protein,GFAP,GFAP,P14136,GFAP_HUMAN,SwissProt,Glial fibrillary acidic protein,GFAP,P14136,GFAP_HUMAN
sp|A0A075B6S2|KVD29_HUMAN / sp|A2NJV5|KV229_HUMAN,-0.002543540055343051,17.13562422410484,,0.6181819826106877,,0.009552847874761787,0.18042336219913113,0.4013423974844604,0.09524740704412356,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin kappa variable 2D-29,IGKV2D-29 / IGKV2-29,IGKV2D-29 / IGKV2-29,A0A075B6S2,,,Immunoglobulin kappa variable 2D-29,IGKV2D-29 / IGKV2-29,A0A075B6S2,
sp|P01624|KV315_HUMAN,0.00219141825733898,19.58909831661683,,0.6189529768374971,,-0.0015000270277316522,0.7781371974842761,0.05238505041536133,0.8008900182665508,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin kappa variable 3-15,IGKV3-15,IGKV3-15,P01624,KV315_HUMAN,SwissProt,Immunoglobulin kappa variable 3-15,IGKV3-15,P01624,KV315_HUMAN
sp|P35052|GPC1_HUMAN,0.0012503616368628857,14.30894331536915,,0.6214676773597158,,0.00234316765454749,0.35007841054244526,-0.14935835067113173,0.21086228874025947,,,36,Mixed-effects model,1.0,False,Not significant,Glypican-1,GPC1,GPC1,P35052,GPC1_HUMAN,SwissProt,Glypican-1,GPC1,P35052,GPC1_HUMAN
sp|P01706|LV211_HUMAN,0.002695829286346224,15.364719028977849,,0.624661793872465,,0.0027238953808692667,0.697277250572061,0.15903712315537394,0.540355499721068,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda variable 2-11,IGLV2-11,IGLV2-11,P01706,LV211_HUMAN,SwissProt,Immunoglobulin lambda variable 2-11,IGLV2-11,P01706,LV211_HUMAN
sp|Q14520|HABP2_HUMAN,-0.0022221911491207584,16.230152886834013,,0.6273540515485609,,0.0025297115654920204,0.5944700548085939,0.13678789066028738,0.526145908359864,,,36,Mixed-effects model,1.0,False,Not significant,Hyaluronan-binding protein 2,HABP2,HABP2,Q14520,HABP2_HUMAN,SwissProt,Hyaluronan-binding protein 2,HABP2,Q14520,HABP2_HUMAN
sp|P54289|CA2D1_HUMAN,0.0011926303304041312,17.406244608158673,,0.6273851371512749,,0.0014569002047441634,0.621557238284524,-0.04342470567726763,0.7077148858317981,,,36,Mixed-effects model,1.0,False,Not significant,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,CACNA2D1,P54289,CA2D1_HUMAN,SwissProt,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,P54289,CA2D1_HUMAN
sp|Q99798|ACON_HUMAN,0.004012625950279656,9.696328286302279,,0.6281286867640442,,-0.0006173392503455611,0.9453686169699886,-0.5057584311895298,0.1952982384512052,,,36,Mixed-effects model,1.0,False,Not significant,"Aconitate hydratase, mitochondrial",ACO2,ACO2,Q99798,ACON_HUMAN,SwissProt,"Aconitate hydratase, mitochondrial",ACO2,Q99798,ACON_HUMAN
sp|P02652|APOA2_HUMAN,-0.0018283904694532346,21.67128275329133,,0.6302866747979414,,-0.0027351592876589874,0.4749340547380303,0.1674841979970722,0.34963684463951894,,,36,Mixed-effects model,1.0,False,Not significant,Apolipoprotein A-II,APOA2,APOA2,P02652,APOA2_HUMAN,SwissProt,Apolipoprotein A-II,APOA2,P02652,APOA2_HUMAN
sp|P08603|CFAH_HUMAN,-0.001147520459173014,21.55484384377234,,0.6369595140264894,,0.00042795866254182233,0.8620531098116017,0.14303908243885155,0.21204604163363194,,,36,Mixed-effects model,1.0,False,Not significant,Complement factor H,CFH,CFH,P08603,CFAH_HUMAN,SwissProt,Complement factor H,CFH,P08603,CFAH_HUMAN
sp|Q92954|PRG4_HUMAN,0.0019208672107636157,16.442484833413815,,0.6374208172097442,,-0.0022453035764666484,0.7227855727380553,-0.12181441464489198,0.5260587832635273,,,36,Mixed-effects model,1.0,False,Not significant,Proteoglycan 4,PRG4,PRG4,Q92954,PRG4_HUMAN,SwissProt,Proteoglycan 4,PRG4,Q92954,PRG4_HUMAN
sp|Q12805|FBLN3_HUMAN,-0.0008686958365270514,20.874678173120103,,0.6376644134326959,,0.0007307743766360594,0.7045459512063528,-0.0762586753999973,0.38046633194551005,,,36,Mixed-effects model,1.0,False,Not significant,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,EFEMP1,Q12805,FBLN3_HUMAN,SwissProt,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,Q12805,FBLN3_HUMAN
sp|P05997|CO5A2_HUMAN,0.004068079313876706,10.077953026150519,,0.6413303262676492,,0.0004026016065770787,0.9572396377818222,-0.4800986169528727,0.24352202648658006,,,36,Mixed-effects model,1.0,False,Not significant,Collagen alpha-2(V) chain,COL5A2,COL5A2,P05997,CO5A2_HUMAN,SwissProt,Collagen alpha-2(V) chain,COL5A2,P05997,CO5A2_HUMAN
sp|P0DOY3|IGLC3_HUMAN,-0.0012048771237786317,22.39594638577947,,0.6434907724697387,,8.47097861374663e-05,0.9823953883947177,0.14149130984611605,0.2489327150768056,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda constant 3,IGLC3,IGLC3,P0DOY3,IGLC3_HUMAN,SwissProt,Immunoglobulin lambda constant 3,IGLC3,P0DOY3,IGLC3_HUMAN
sp|A0A0B4J1U7|HV601_HUMAN,-0.002558350315803181,16.381243970089702,,0.6443253943344587,,0.007208137350731713,0.3211975844800613,0.001611861536815673,0.9950769616099525,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy variable 6-1,IGHV6-1,IGHV6-1,A0A0B4J1U7,HV601_HUMAN,SwissProt,Immunoglobulin heavy variable 6-1,IGHV6-1,A0A0B4J1U7,HV601_HUMAN
sp|A0A0B4J1V0|HV315_HUMAN,0.001937452018956729,16.88781347121707,,0.6471375232699188,,0.0034608956608762655,0.48345602268798193,-0.029988900697428898,0.8805284770097161,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy variable 3-15,IGHV3-15,IGHV3-15,A0A0B4J1V0,HV315_HUMAN,SwissProt,Immunoglobulin heavy variable 3-15,IGHV3-15,A0A0B4J1V0,HV315_HUMAN
sp|P81605|DCD_HUMAN,-0.004253324893771927,12.617065167824013,,0.6529407400408607,,-0.0015523553546355573,0.8280377987559082,0.058392229888108015,0.895807361960411,,,36,Mixed-effects model,1.0,False,Not significant,Dermcidin,DCD,DCD,P81605,DCD_HUMAN,SwissProt,Dermcidin,DCD,P81605,DCD_HUMAN
sp|Q8IWV2|CNTN4_HUMAN,0.0018491505612605894,13.923373770757728,,0.6548525889517458,,-0.0008762088510908029,0.764510537453524,-0.055549057939426515,0.7757428734432477,,,36,Mixed-effects model,1.0,False,Not significant,Contactin-4,CNTN4,CNTN4,Q8IWV2,CNTN4_HUMAN,SwissProt,Contactin-4,CNTN4,Q8IWV2,CNTN4_HUMAN
sp|P05408|7B2_HUMAN,0.0014217285201801096,19.565855814528124,,0.6594428633587571,,-0.0015418481411093566,0.6888852685223926,-0.16842904703475028,0.26809032151728573,,,36,Mixed-effects model,1.0,False,Not significant,Neuroendocrine protein 7B2,SCG5,SCG5,P05408,7B2_HUMAN,SwissProt,Neuroendocrine protein 7B2,SCG5,P05408,7B2_HUMAN
sp|P14923|PLAK_HUMAN,0.005755002612799671,14.222381580975773,,0.659850470361018,,0.00652950879073129,0.5200125392134947,0.0027014927259185898,0.9965031746844175,,,36,Mixed-effects model,1.0,False,Not significant,Junction plakoglobin,JUP,JUP,P14923,PLAK_HUMAN,SwissProt,Junction plakoglobin,JUP,P14923,PLAK_HUMAN
sp|A0A0B4J1Y8|LV949_HUMAN,-0.0015046218273058805,13.989872406701105,,0.6608464781606173,,-0.0029952584084215798,0.43182012186537244,0.02258610998493756,0.8888879037682621,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda variable 9-49,IGLV9-49,IGLV9-49,A0A0B4J1Y8,LV949_HUMAN,SwissProt,Immunoglobulin lambda variable 9-49,IGLV9-49,A0A0B4J1Y8,LV949_HUMAN
sp|P42262|GRIA2_HUMAN,0.005211786053257822,9.38393690978683,,0.6643220642126324,,-0.008703849894679955,0.36300522707542715,0.03786892327900446,0.9466711337604923,,,36,Mixed-effects model,1.0,False,Not significant,Glutamate receptor 2,GRIA2,GRIA2,P42262,GRIA2_HUMAN,SwissProt,Glutamate receptor 2,GRIA2,P42262,GRIA2_HUMAN
sp|A0A075B6K0|LV316_HUMAN,0.002231832393456082,13.909380705547251,,0.6666587101194397,,-0.00311651854825496,0.6121925825876704,0.22080489132804196,0.3659972012789542,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda variable 3-16,IGLV3-16,IGLV3-16,A0A075B6K0,LV316_HUMAN,SwissProt,Immunoglobulin lambda variable 3-16,IGLV3-16,A0A075B6K0,LV316_HUMAN
sp|P23471|PTPRZ_HUMAN,0.0008738787806015683,16.610712077906022,,0.668315929993688,,-0.0007209262326177922,0.7405815543760718,-0.040570962434819745,0.6730472511617668,,,36,Mixed-effects model,1.0,False,Not significant,Receptor-type tyrosine-protein phosphatase zeta,PTPRZ1,PTPRZ1,P23471,PTPRZ_HUMAN,SwissProt,Receptor-type tyrosine-protein phosphatase zeta,PTPRZ1,P23471,PTPRZ_HUMAN
sp|P10909|CLUS_HUMAN,0.0007777188965581744,23.55120000845886,,0.6706719817429793,,0.00018717048637749084,0.9252755962597804,-0.07926784131384082,0.35789095043809804,,,36,Mixed-effects model,1.0,False,Not significant,Clusterin,CLU,CLU,P10909,CLUS_HUMAN,SwissProt,Clusterin,CLU,P10909,CLUS_HUMAN
sp|O94919|ENDD1_HUMAN,0.0007116808963116857,16.4556462407423,,0.6712667284283148,,-0.00033608395132772974,0.8745024259361681,0.06336397204543365,0.4227935804465951,,,36,Mixed-effects model,1.0,False,Not significant,Endonuclease domain-containing 1 protein,ENDOD1,ENDOD1,O94919,ENDD1_HUMAN,SwissProt,Endonuclease domain-containing 1 protein,ENDOD1,O94919,ENDD1_HUMAN
sp|P00751|CFAB_HUMAN,-0.001386262358041322,21.076221215613522,,0.6730727355084978,,-0.0011101821034609398,0.7456714532468507,0.13760066642776023,0.37430584748360085,,,36,Mixed-effects model,1.0,False,Not significant,Complement factor B,CFB,CFB,P00751,CFAB_HUMAN,SwissProt,Complement factor B,CFB,P00751,CFAB_HUMAN
sp|P07358|CO8B_HUMAN,0.001630412104459155,16.601680492629782,,0.6730733064256003,,0.00030364440621216346,0.9510266733501864,0.1284531568871931,0.4807002232776926,,,36,Mixed-effects model,1.0,False,Not significant,Complement component C8 beta chain,C8B,C8B,P07358,CO8B_HUMAN,SwissProt,Complement component C8 beta chain,C8B,P07358,CO8B_HUMAN
sp|P01877|IGHA2_HUMAN,0.0019061858736984915,21.91289316264174,,0.6735059661996896,,-0.004097193302654406,0.48838213360258553,0.07285823393586553,0.7326308061962215,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy constant alpha 2,IGHA2,IGHA2,P01877,IGHA2_HUMAN,SwissProt,Immunoglobulin heavy constant alpha 2,IGHA2,P01877,IGHA2_HUMAN
sp|Q9BTY2|FUCO2_HUMAN,0.0015001624157958643,13.489351077084049,,0.6760547747999837,,-0.002561347609268582,0.7276327223170413,-0.19614527129708356,0.24647178887207122,,,36,Mixed-effects model,1.0,False,Not significant,Plasma alpha-L-fucosidase,FUCA2,FUCA2,Q9BTY2,FUCO2_HUMAN,SwissProt,Plasma alpha-L-fucosidase,FUCA2,Q9BTY2,FUCO2_HUMAN
sp|P01213|PDYN_HUMAN,-0.0016251695790607452,14.98897205769902,,0.6770179586254383,,0.0038940727215349205,0.365721632205406,0.07805684639445286,0.6712772861951597,,,36,Mixed-effects model,1.0,False,Not significant,Proenkephalin-B,PDYN,PDYN,P01213,PDYN_HUMAN,SwissProt,Proenkephalin-B,PDYN,P01213,PDYN_HUMAN
sp|Q5VSP4|LC1L1_HUMAN / sp|P31025|LCN1_HUMAN,-0.02284215776754915,4.965772003673627,,0.6787145840575168,,0.03335334844408058,0.43818633045852307,3.919953585454978,0.13157451977119117,,,36,Mixed-effects model,1.0,False,Not significant,Putative lipocalin 1-like protein 1,LCN1P1 / LCN1,LCN1P1 / LCN1,Q5VSP4,,,Putative lipocalin 1-like protein 1,LCN1P1 / LCN1,Q5VSP4,
sp|Q7L0X0|TRIL_HUMAN,0.00447852339620499,9.451111790036363,,0.678919586467546,,-0.007667263948927117,0.3180167274293165,-0.08418056490586134,0.8689037571868603,,,36,Mixed-effects model,1.0,False,Not significant,TLR4 interactor with leucine rich repeats,TRIL,TRIL,Q7L0X0,TRIL_HUMAN,SwissProt,TLR4 interactor with leucine rich repeats,TRIL,Q7L0X0,TRIL_HUMAN
sp|O14917|PCD17_HUMAN,-0.001669885995042491,13.721390708387936,,0.6796085717580451,,-0.004280937472112232,0.23073541696032207,-0.14141648592850573,0.45812583047913313,,,36,Mixed-effects model,1.0,False,Not significant,Protocadherin-17,PCDH17,PCDH17,O14917,PCD17_HUMAN,SwissProt,Protocadherin-17,PCDH17,O14917,PCD17_HUMAN
sp|P00738|HPT_HUMAN,-0.0028554664601023023,22.364222518803096,,0.6816796605766824,,-0.0024990724320498024,0.8631710750442473,0.397284344913567,0.22605285155113197,,,36,Mixed-effects model,1.0,False,Not significant,Haptoglobin,HP,HP,P00738,HPT_HUMAN,SwissProt,Haptoglobin,HP,P00738,HPT_HUMAN
sp|P60953|CDC42_HUMAN,-0.010472018998276184,8.14185261968549,,0.6848451306590777,,-0.007057028450423249,0.69890643916274,-0.24607088790604367,0.8396760335146551,,,36,Mixed-effects model,1.0,False,Not significant,Cell division control protein 42 homolog,CDC42,CDC42,P60953,CDC42_HUMAN,SwissProt,Cell division control protein 42 homolog,CDC42,P60953,CDC42_HUMAN
tr|A0A075B7B8|A0A075B7B8_HUMAN,-0.001829596380198758,16.150178650839543,,0.6857719395852084,,0.00902965011885334,0.1901361520348368,0.26748561915044833,0.20954904923643702,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment),IGHV3OR16-12,IGHV3OR16-12,A0A075B7B8,A0A075B7B8_HUMAN,TrEMBL,Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment),IGHV3OR16-12,A0A075B7B8,A0A075B7B8_HUMAN
sp|P07942|LAMB1_HUMAN,0.00123190531049749,13.727540239318152,,0.6861947721305615,,-0.00038749626282571435,0.885249862690356,-0.10208126516408204,0.47757818838923083,,,36,Mixed-effects model,1.0,False,Not significant,Laminin subunit beta-1,LAMB1,LAMB1,P07942,LAMB1_HUMAN,SwissProt,Laminin subunit beta-1,LAMB1,P07942,LAMB1_HUMAN
sp|O00533|NCHL1_HUMAN,0.0008047769414647642,19.69228770666111,,0.6921821731481232,,-0.000478397395710319,0.8650148708763494,-0.05865785144473753,0.5404576183620499,,,36,Mixed-effects model,1.0,False,Not significant,Neural cell adhesion molecule L1-like protein,CHL1,CHL1,O00533,NCHL1_HUMAN,SwissProt,Neural cell adhesion molecule L1-like protein,CHL1,O00533,NCHL1_HUMAN
sp|Q92932|PTPR2_HUMAN,0.0012431392674440694,16.11793358796027,,0.6930808398418634,,-0.0010991966040612602,0.7942024906214488,-0.00018725270337714988,0.9989937706337377,,,36,Mixed-effects model,1.0,False,Not significant,Receptor-type tyrosine-protein phosphatase N2,PTPRN2,PTPRN2,Q92932,PTPR2_HUMAN,SwissProt,Receptor-type tyrosine-protein phosphatase N2,PTPRN2,Q92932,PTPR2_HUMAN
sp|Q9BY79|MFRP_HUMAN,-0.016422329212641164,8.418460122739912,,0.6947312025029602,,0.0223967711641519,0.4491063256993981,1.607481943834824,0.41514088360954626,,,36,Mixed-effects model,1.0,False,Not significant,Membrane frizzled-related protein,MFRP,MFRP,Q9BY79,MFRP_HUMAN,SwissProt,Membrane frizzled-related protein,MFRP,Q9BY79,MFRP_HUMAN
sp|P0DJI9|SAA2_HUMAN,-0.0038228975603310875,11.46055322448925,,0.6954006915292736,,-0.00355042940915629,0.6270818836408855,-0.2176528504059841,0.6362993400084486,,,36,Mixed-effects model,1.0,False,Not significant,Serum amyloid A-2 protein,SAA2,SAA2,P0DJI9,SAA2_HUMAN,SwissProt,Serum amyloid A-2 protein,SAA2,P0DJI9,SAA2_HUMAN
sp|P01876|IGHA1_HUMAN,0.0015843786941080768,22.81150764953148,,0.6978911871449107,,-0.004783665157248263,0.4040406676393885,0.060585700013533896,0.7528567086351003,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy constant alpha 1,IGHA1,IGHA1,P01876,IGHA1_HUMAN,SwissProt,Immunoglobulin heavy constant alpha 1,IGHA1,P01876,IGHA1_HUMAN
sp|Q92686|NEUG_HUMAN,-0.003116446325777276,11.377223038087237,,0.7010689834877508,,0.007131207095355701,0.24371485065306442,-0.07733805340500298,0.8398507041533394,,,36,Mixed-effects model,1.0,False,Not significant,Neurogranin,NRGN,NRGN,Q92686,NEUG_HUMAN,SwissProt,Neurogranin,NRGN,Q92686,NEUG_HUMAN
sp|Q9NQ79|CRAC1_HUMAN,-0.0007048389258244858,18.946625062751966,,0.7073666817724793,,0.00045470559282217364,0.8619899815779161,0.033587601476900215,0.7043346816531968,,,36,Mixed-effects model,1.0,False,Not significant,Cartilage acidic protein 1,CRTAC1,CRTAC1,Q9NQ79,CRAC1_HUMAN,SwissProt,Cartilage acidic protein 1,CRTAC1,Q9NQ79,CRAC1_HUMAN
sp|Q9HC57|WFDC1_HUMAN,0.0019461132607610993,15.30698960554096,,0.7084600228158726,,-0.009463219772806333,0.10684723424830436,-0.04472858350799644,0.8553402924153888,,,36,Mixed-effects model,1.0,False,Not significant,WAP four-disulfide core domain protein 1,WFDC1,WFDC1,Q9HC57,WFDC1_HUMAN,SwissProt,WAP four-disulfide core domain protein 1,WFDC1,Q9HC57,WFDC1_HUMAN
sp|P08123|CO1A2_HUMAN,-0.0005685583934855539,17.281961228393673,,0.7089162883168327,,0.00023717336660109025,0.8961057597799555,-0.05140778996083617,0.4739720293896248,,,36,Mixed-effects model,1.0,False,Not significant,Collagen alpha-2(I) chain,COL1A2,COL1A2,P08123,CO1A2_HUMAN,SwissProt,Collagen alpha-2(I) chain,COL1A2,P08123,CO1A2_HUMAN
sp|A0A075B6I0|LV861_HUMAN,0.0025279135246679663,15.661838165024035,,0.7092837001756976,,0.0010476895673217433,0.9030654679735539,-0.20922728109120453,0.5127412948581649,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin lambda variable 8-61,IGLV8-61,IGLV8-61,A0A075B6I0,LV861_HUMAN,SwissProt,Immunoglobulin lambda variable 8-61,IGLV8-61,A0A075B6I0,LV861_HUMAN
sp|Q9H008|LHPP_HUMAN,0.010061743012145321,9.240293426376851,,0.7096718363553478,,-0.0033987821907002897,0.8596590191442515,-1.0569568470094222,0.4067531764671679,,,36,Mixed-effects model,1.0,False,Not significant,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,LHPP,LHPP,Q9H008,LHPP_HUMAN,SwissProt,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,LHPP,Q9H008,LHPP_HUMAN
sp|Q14CN4|K2C72_HUMAN,-0.003978221733423222,16.12894390628747,,0.7117890680469368,,0.003333032577838421,0.7191825883580245,-0.030204173374401833,0.952550800818921,,,36,Mixed-effects model,1.0,False,Not significant,"Keratin, type II cytoskeletal 72",KRT72,KRT72,Q14CN4,K2C72_HUMAN,SwissProt,"Keratin, type II cytoskeletal 72",KRT72,Q14CN4,K2C72_HUMAN
sp|Q9NRR1|CYTL1_HUMAN,0.0013342955561664734,13.693209255514674,,0.7127058880919651,,-0.005731766111159255,0.13364810585762418,0.11375728173770294,0.505438737050528,,,36,Mixed-effects model,1.0,False,Not significant,Cytokine-like protein 1,CYTL1,CYTL1,Q9NRR1,CYTL1_HUMAN,SwissProt,Cytokine-like protein 1,CYTL1,Q9NRR1,CYTL1_HUMAN
sp|Q08380|LG3BP_HUMAN,-0.0008051250480500779,18.307379909962496,,0.7129831379796561,,0.00030599503022140176,0.9171053804112153,-0.04140272744854291,0.6882152127982661,,,36,Mixed-effects model,1.0,False,Not significant,Galectin-3-binding protein,LGALS3BP,LGALS3BP,Q08380,LG3BP_HUMAN,SwissProt,Galectin-3-binding protein,LGALS3BP,Q08380,LG3BP_HUMAN
sp|P05060|SCG1_HUMAN,0.0013104149561367357,20.080009476779644,,0.7151466154374069,,-0.001700712570146415,0.6825695213940796,-0.20964948374998574,0.21549696905877913,,,36,Mixed-effects model,1.0,False,Not significant,Secretogranin-1,CHGB,CHGB,P05060,SCG1_HUMAN,SwissProt,Secretogranin-1,CHGB,P05060,SCG1_HUMAN
sp|P12318|FCG2A_HUMAN / sp|P31995|FCG2C_HUMAN,0.0019720666033453305,13.837804176910533,,0.7152766705404581,,-0.006424366132748943,0.2943315662338215,-0.3664754402927428,0.15043402020866783,,,36,Mixed-effects model,1.0,False,Not significant,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A / FCGR2C,FCGR2A / FCGR2C,P12318,,,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A / FCGR2C,P12318,
sp|A0A0B4J1X5|HV374_HUMAN,-0.0015942497003291188,19.469089317437174,,0.716952033418784,,0.0047128907773716,0.35201436456891577,0.13732021080538576,0.5077008545334272,,,36,Mixed-effects model,1.0,False,Not significant,Immunoglobulin heavy variable 3-74,IGHV3-74,IGHV3-74,A0A0B4J1X5,HV374_HUMAN,SwissProt,Immunoglobulin heavy variable 3-74,IGHV3-74,A0A0B4J1X5,HV374_HUMAN
sp|Q9BXL7|CAR11_HUMAN,-0.012820853555802663,8.631320085344635,,0.7169643750907919,,0.003816118382305604,0.9323463493083097,-1.39309059421199,0.403379120756284,,,36,Mixed-effects model,1.0,False,Not significant,Caspase recruitment domain-containing protein 11,CARD11,CARD11,Q9BXL7,CAR11_HUMAN,SwissProt,Caspase recruitment domain-containing protein 11,CARD11,Q9BXL7,CAR11_HUMAN
sp|Q9ULB4|CADH9_HUMAN,-0.00638043839271146,9.918411783951404,,0.7175420472374208,,0.0046658039433240765,0.818890237264116,-0.06414176830667206,0.9385092827201891,,,36,Mixed-effects model,1.0,False,Not significant,Cadherin-9,CDH9,CDH9,Q9ULB4,CADH9_HUMAN,SwissProt,Cadherin-9,CDH9,Q9ULB4,CADH9_HUMAN
sp|Q96BZ4|PLD4_HUMAN,-0.001543793207181017,13.782134429036711,,0.7197679380955899,,0.01068170689851755,0.0196996541699213,0.06870310533417451,0.7348397602949466,,,36,Mixed-effects model,1.0,False,Not significant,5'-3' exonuclease PLD4,PLD4,PLD4,Q96BZ4,PLD4_HUMAN,SwissProt,5'-3' exonuclease PLD4,PLD4,Q96BZ4,PLD4_HUMAN
sp|Q99983|OMD_HUMAN,0.0008742015861025143,15.993150241686234,,0.7204668595755224,,0.00043733519146736644,0.8613514712470404,-0.17958019060693642,0.11892018471437946,,,36,Mixed-effects model,1.0,False,Not significant,Osteomodulin,OMD,OMD,Q99983,OMD_HUMAN,SwissProt,Osteomodulin,OMD,Q99983,OMD_HUMAN
sp|Q6UY11|DLK2_HUMAN,-0.0017376010920999486,13.231803588730989,,0.7205802613900734,,1.1120176583147864e-05,0.9979019221338744,0.11000822091502416,0.6309610050431189,,,36,Mixed-effects model,1.0,False,Not significant,Protein delta homolog 2,DLK2,DLK2,Q6UY11,DLK2_HUMAN,SwissProt,Protein delta homolog 2,DLK2,Q6UY11,DLK2_HUMAN
tr|A0AAG2TVE0|A0AAG2TVE0_HUMAN / tr|A0A075B7D0|A0A075B7D0_HUMAN,-0.003933533226064686,16.50648190220842,,0.7221145329016375,,0.007793512521660429,0.5136139310579013,0.6343546698114532,0.22374442087613278,,,36,Mixed-effects model,1.0,False,Not significant,Ig-like domain-containing protein,Unknown / IGHV1OR15-1,Unknown / IGHV1OR15-1,A0AAG2TVE0,,,Ig-like domain-containing protein,Unknown / IGHV1OR15-1,A0AAG2TVE0,
